summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,violation_hour,is_weekend,day_category
1363745270,GGY6450,99,PAS,2015-07-09,46,SDN,HONDA,P,0,40404,40404,20170602.0,74.0,74,301,358160,T301,0,1037A,K,F,142,MACDOUNGH ST,0,408,D1,BBBBBBB,ALL,ALL,WHITE,0.0,2010,-,0,10,False,Weekday
1363745293,KXD355,SC,PAS,2015-07-09,21,SUBN,CHEVR,P,55730,67030,58730,20160288.0,79.0,79,301,358160,T301,0,1206P,K,F,331,LEXINGTON AVE,0,408,F1,YBBYBBB,1100A,1230P,RED,0.0,0,-,0,12,False,Weekday
1363745438,JCK7576,PA,PAS,2015-07-09,21,SDN,ME/BE,P,42730,26730,26830,0.0,79.0,79,0,358114,TEBN,0,0820A,K,F,1087,FULTON ST,0,408,D1,YBBYBBB,0800A,0930A,WHITE,0.0,0,-,0,8,False,Weekday
1363745475,GYK7658,NY,OMS,2015-07-09,21,SUBN,NISSA,P,58130,18630,67030,0.0,79.0,79,301,358114,T301,0,0918A,K,F,207,MADISON ST,0,408,D1,YBBYBBB,0900A,1030,BK,0.0,2015,-,0,9,False,Weekday
1363745487,GMT8141,NY,PAS,2015-07-09,21,P-U,LINCO,P,58130,67030,58730,20160206.0,79.0,79,301,358114,T301,0,0925A,K,F,237,MADISON ST,0,408,D1,YBBYBBB,0900A,1030A,BLK,0.0,2006,-,0,9,False,Weekday
1363745517,GYK3760,NY,PAS,2015-07-09,21,SUBN,HONDA,P,46730,58730,85730,20160709.0,79.0,79,301,358114,T301,0,0948A,K,F,201,HALSEY ST,0,408,D1,YBBYBBB,0900A,1030A,OTHER,0.0,2006,-,0,9,False,Weekday
1363745529,GYK3760,NY,PAS,2015-07-09,75,SUBN,HONDA,P,46730,58730,85730,20160709.0,,0,301,358114,T301,0,0949A,K,F,201,HALSEY ST,0,408,D1,BBBBBBB,ALL,ALL,OTHER,0.0,2006,-,0,9,False,Weekday
1363745542,GWL9925,NY,PAS,2015-07-09,71,SDN,TOYOT,P,85730,59530,32030,20170602.0,79.0,79,301,358114,T301,0,1043A,K,O,482,TOMPKINS AVE,0,408,D1,BBBBBBB,ALL,ALL,OTHER,0.0,2006,-,0,10,False,Weekday
1363745554,GPH9963,PA,PAS,2015-07-09,21,SDN,MITSU,P,55730,67030,58730,20150288.0,79.0,79,301,358114,T301,0,1204P,K,F,317,LEXINGTON AVE,0,408,J6,YBBYBBB,1100A,1230P,OTHER,0.0,0,-,0,12,False,Weekday
1363745578,GWF8627,NY,PAS,2015-07-09,21,SUBN,LINCO,P,31530,58730,85730,20170407.0,79.0,79,301,358114,T301,0,1227P,K,F,739,DEKALB AVE,0,408,D1,YBBYBBB,1200P,0130P,OTHER,0.0,2002,-,0,12,False,Weekday
1363745657,VJA95M,NJ,PAS,2015-07-09,21,SUBN,UNKNOWN,P,51930,42030,58330,0.0,,0,301,359590,T301,0,0851A,K,O,84,INDIA ST,0,408,D1,YBBYBBB,0830A,1000A,WH,0.0,0,-,0,8,False,Weekday
1363745670,GVA7104,NY,PAS,2015-07-09,41,SDN,VOLKS,P,45830,42030,58330,20160421.0,94.0,94,301,359590,T301,0,0905A,,F,125,GREEN ST,0,408,,YBBYBBB,0830A,1000A,BLK,0.0,2014,-,0,9,False,Weekday
1363745712,GYA9126,NY,PAS,2015-07-09,70,SUBN,TOYOT,P,46330,60430,24330,20150526.0,94.0,94,301,359590,T301,0,0954A,K,O,181,GUERNSEY ST,0,408,J6,BBBBBBB,ALL,ALL,BL,0.0,2012,-,0,9,False,Weekday
1363745724,WYW78A,NJ,PAS,2015-07-09,21,SUBN,SUBAR,P,55430,63630,65730,0.0,94.0,94,301,359590,T301,0,1012A,K,F,595,LEONARD ST,0,408,J3,YBBYBBB,0930A,1100A,BLK,0.0,0,-,0,10,False,Weekday
1363745736,GXL3452,NY,PAS,2015-07-09,21,SDN,TOYOT,P,54010,58330,59640,20160930.0,94.0,94,301,359590,T301,0,1136A,K,O,174,KENT ST,0,408,D1,YBBYBBB,1130A,0100P,BLK,0.0,2015,-,0,11,False,Weekday
1363745748,Z53ESE,NJ,PAS,2015-07-09,21,SUBN,LINCO,P,54010,58330,59640,0.0,94.0,94,301,359590,T301,0,1141A,K,F,195,KENT ST,0,408,D1,YBBYBBB,1130A,0100P,BLK,0.0,0,-,0,11,False,Weekday
1363745750,GMH6888,NY,PAS,2015-07-09,21,SUBN,BMW,P,54010,58330,59640,0.0,94.0,94,301,359590,T301,0,1145A,,F,213,KENT ST,0,408,D1,YBBYBBB,1130A,0100P,BLK,0.0,0,-,0,11,False,Weekday
1363745761,GRF4392,NY,PAS,2015-07-09,21,SUBN,FORD,P,0,0,0,20150930.0,94.0,94,301,359590,T301,0,1148A,K,,,W/ MCGUINESS BLVD,0,408,D1,YBBYBBB,1130A,0100P,BLK,0.0,2015,-,0,11,False,Weekday
1363745864,GYX2853,NY,PAS,2015-07-09,21,TWOD,HONDA,P,81630,69230,63030,20170524.0,88.0,88,301,358668,T301,0,0900A,K,O,77,STEUBEN ST,0,408,D1,BBBYBBB,0830A,1000A,WH,0.0,2015,-,0,9,False,Weekday
1363745890,GRE9023,NY,PAS,2015-07-09,21,SDN,TOYOT,P,39330,63030,93230,20160801.0,88.0,88,301,358668,T301,0,0932A,K,O,139,EMERSON PL,0,408,D1,BBBYBBB,0830A,1000A,GRAY,0.0,2010,-,0,9,False,Weekday
1363745906,J54EFN,NJ,PAS,2015-07-09,21,SDN,MITSU,P,39330,63030,93230,0.0,88.0,88,301,358668,T301,0,0922A,K,O,139,EMERSON PL,0,408,D1,BBBYBBB,0830A,1000A,BLK,0.0,0,-,0,9,False,Weekday
1363745918,GDP3708,NY,PAS,2015-07-09,21,SUBN,SUBAR,P,39330,63030,93230,20161225.0,88.0,88,301,358668,T301,0,0925A,K,O,139,EMERSON PL,0,408,D1,BBBYBBB,0830A,1000A,BLK,0.0,2004,-,0,9,False,Weekday
1363745920,GXF5226,NY,PAS,2015-07-09,21,SUBN,MITSU,P,39330,63030,93230,20170408.0,88.0,88,301,358668,T301,0,0930A,K,O,161,EMERSON PL,0,408,D1,BBBYBBB,0830A,1000A,GY,0.0,2015,-,0,9,False,Weekday
1363745931,X885GH,NY,PAS,2015-07-09,21,SDN,ME/BE,P,39330,63030,93230,20160831.0,88.0,88,301,358668,T301,0,0935A,K,O,161,EMERSON PL,0,408,D1,BBBYBBB,0830A,1000A,BL,0.0,0,-,0,9,False,Weekday
1363745979,GDN6729,NY,PAS,2015-07-09,21,SUBN,LEXUS,P,87330,69230,63030,20161125.0,88.0,88,301,358668,T301,0,1215P,K,O,151,VANDERBILT AVE,0,408,D1,BBBYBBB,1130A,0100P,BLK,0.0,2005,-,0,12,False,Weekday
1363745980,N36CZE,NJ,PAS,2015-07-09,21,SDN,BMW,P,87330,63030,93230,0.0,88.0,88,301,358668,T301,0,1235P,K,O,183,VANDERBILT AVE,0,408,D1,BBBYBBB,1130A,0100P,WH,0.0,0,-,0,12,False,Weekday
1363745992,GYD4165,NY,PAS,2015-07-09,71,SUBN,DODGE,P,63030,74530,45030,20170506.0,88.0,88,301,358668,T301,0,0135P,K,F,511,MYRTLE,0,408,D1,BBBBBBB,ALL,ALL,GR,0.0,2003,-,0,1,False,Weekday
1363746030,GTL7882,NY,PAS,2015-07-09,21,SDN,HONDA,P,29830,13430,68930,20160828.0,84.0,84,0,353983,BNTE,0,0848A,K,F,138,COURT ST,0,408,C3,YYYYYYB,0800A,0900A,BK,0.0,2014,-,0,8,False,Weekday
1363746042,GXS1304,NY,PAS,2015-07-09,20,P-U,FORD,P,73220,27530,29830,20170331.0,84.0,84,0,353983,BNTE,0,0911A,K,F,147,REMSEN ST,0,408,D1,YYYYYBB,0800A,0600P,BR,0.0,2015,-,0,9,False,Weekday
1363746078,T639964C,NY,OMT,2015-07-09,20,SUBN,HONDA,P,61830,48830,27530,20150831.0,84.0,84,0,353983,BNTE,0,0940A,K,F,148,MONTAGUE ST,0,408,C,YYYYYBB,0800A,0600P,BK,0.0,2012,-,0,9,False,Weekday
1363746110,GXC5627,NY,PAS,2015-07-09,38,SDN,MAZDA,X,61830,40404,40404,20160110.0,84.0,84,301,353983,T301,0,1030A,K,F,1558,MONTAGUE ST,0,408,D,YYYYYYB,0800A,0700P,BK,0.0,2012,-,0,10,False,Weekday
1363746121,GSY7119,NY,999,2015-07-09,37,SUBN,DODGE,X,73220,27530,29830,20161031.0,84.0,84,301,353983,T301,0,1037A,K,O,147,REMSEN ST,0,408,I4,YYYYYYB,0900A,0700P,WHT,0.0,2014,-,0,10,False,Weekday
1363746157,GRB8701,NY,PAS,2015-07-09,71,SDN,ME/BE,X,0,40404,40404,20160401.0,84.0,84,301,353983,T301,0,0106P,K,F,170,JEROLEMON ST,0,408,I3,BBBBBBB,ALL,ALL,BK,0.0,0,-,0,1,False,Weekday
1363746236,GSG8677,NY,PAS,2015-07-09,71,SUBN,JEEP,P,65730,46330,57030,20160625.0,94.0,94,0,361885,BNTE,0,1005A,K,O,68,NORMAN AVE,0,408,D,BBBBBBB,ALL,ALL,GY,0.0,2014,-,0,10,False,Weekday
1363746261,GYR6118,NY,OMS,2015-07-09,21,SUBN,KIA,P,0,40404,40404,20160930.0,94.0,94,0,361885,BNTE,0,1141A,K,F,207,KENT,0,408,D1,YBBYBBB,1130A,0100P,WH,0.0,2016,-,0,11,False,Weekday
1363746273,JRR2316,PA,PAS,2015-07-09,21,SDN,NISSA,P,0,0,0,20150788.0,94.0,94,0,361885,BNTE,0,1149A,K,,,S/S MCGUINESS 30FT,0,408,D1,YBBYBBB,1130A,0100P,BL,0.0,0,-,0,11,False,Weekday
1363746297,GGP5711,NY,PAS,2015-07-09,41,SDN,HYUND,P,51930,58330,59640,20150501.0,94.0,94,0,361885,BNTE,0,1203P,K,F,161,INDIA ST,0,408,D1,YBBYBBB,1130A,0100P,BK,0.0,2013,-,0,12,False,Weekday
1363746303,KL1A2U,MO,PAS,2015-07-09,21,SUBN,CHEVR,P,52830,59640,72760,20150688.0,94.0,94,0,361885,BNTE,0,1220P,K,F,213,JAVA ST,0,408,D1,YBBYBBB,1130A,0100P,WH,0.0,0,-,0,12,False,Weekday
1363746315,GUJ9712,NY,PAS,2015-07-09,21,SUBN,SUBAR,P,52830,59640,72760,20161010.0,94.0,94,0,361885,BNTE,0,1225P,K,F,219,JAVA ST,0,408,D1,YBBYBBB,1130A,0100P,WH,0.0,2015,-,0,12,False,Weekday
1363746327,GST2397,NY,PAS,2015-07-09,21,SDN,HONDA,P,52830,59640,72760,20160820.0,94.0,94,0,361885,BNTE,0,1229P,K,O,230,JAVA ST,0,408,D1,YBBYBBB,1130A,0100P,SL,0.0,2002,-,0,12,False,Weekday
1363746340,GKB7874,NY,OMS,2015-07-09,21,SDN,CHRYS,P,52830,59640,72760,20150930.0,94.0,94,0,361885,BNTE,0,1239P,K,F,239,JAVA ST,0,408,D1,YBBYBBB,1130A,0100P,SL,0.0,2014,-,0,12,False,Weekday
1363746352,V364120B,IL,PAS,2015-07-09,21,SDN,CHEVR,P,52830,59640,72760,20161288.0,94.0,94,0,361885,BNTW,0,1241P,K,F,239,JAVA ST,0,408,D1,YBBYBBB,1100A,0100P,BK,0.0,0,-,0,12,False,Weekday
1363746431,GHJ5839,NY,PAS,2015-07-09,21,SDN,NISSA,P,87630,58330,44930,20170620.0,90.0,90,301,355074,T301,0,0941A,K,O,40,VARET ST,0,408,D1,YBBYBBB,0930A,1100A,GRAY,0.0,2010,-,0,9,False,Weekday
1363746455,GHN8166,NY,PAS,2015-07-09,21,SDN,NISSA,P,62530,58330,44930,20160129.0,90.0,90,301,355074,T301,0,1005A,K,F,71,MOORE ST,0,408,D1,YBBYBBB,0930A,1100A,BLK,0.0,1995,-,0,10,False,Weekday
1363746480,GXG4646,NY,PAS,2015-07-09,21,SDN,TOYOT,P,92630,85330,23230,20161011.0,90.0,90,301,355074,T301,0,1110A,K,F,67,WHIPPLE ST,0,408,C3,YBBYBBB,1100A,1230P,WH,0.0,2011,-,0,11,False,Weekday
1363746510,GMT9467,NY,PAS,2015-07-09,21,SDN,UNKNOWN,P,85330,15580,92630,20160306.0,90.0,90,301,355074,T301,0,1135A,K,F,110,THROOP AVE,0,408,D1,YBBYBBB,1100A,1230P,GRAY,0.0,2007,-,0,11,False,Weekday
